Compound name,Class_0,Class_1,Class_2,y_true,idx,type
BiSnMnNiO6_C,0.919081709,0.051348449,0.029569842,0,16,Test
LuZrMnNiO6_L,0.18278521,0.64251717,0.174697621,1,76,Test
BiZnMnNiO6_C,0.711067179,0.237973598,0.050959223,0,18,Test
BaZrMnNiO6_R,0.120262206,0.325156737,0.554581056,2,12,Test
BaSnMnNiO6_L,0.075254154,0.731994153,0.192751693,1,9,Test
RbYMnReO6_C,0.770291986,0.153672677,0.076035337,0,132,Test
LuSrMnNiO6_C,0.468338237,0.373070181,0.158591582,0,75,Test
RbYMnWO6_C,0.788607004,0.182976707,0.02841629,0,135,Test
KYNiOsO6_C,0.725757573,0.15772126,0.116521167,0,60,Test
KYCrWO6_C,0.694672093,0.184497088,0.12083082,0,55,Test
SrCeMnNiO6_C,0.838156331,0.090064754,0.071778915,0,146,Test
CdPbMnNiO6_C,0.737994827,0.176675664,0.08532951,0,30,Test
RbYVOsO6_C,0.692537689,0.161472997,0.145989315,0,140,Test
NaYVOsO6_L,0.158286207,0.726311472,0.115402321,1,119,Test
NaLuCoWO6_L,0.180722104,0.717148576,0.10212932,1,85,Test
dummy0,0,0,0,0,-10,Train
dummy1,1,1,1,2,-11,Test
